#Data Set Export - Lake Area.Best Available@08461200,
Timestamp (UTC-06:00),Value (m^2)
2026-03-29 00:00:00,93072000.32067409
2026-03-29 00:15:00,93071940.51244512
2026-03-29 00:30:00,93071880.70421635
2026-03-29 00:45:00,93057820.8959877
2026-03-29 01:00:00,93029761.08775859
2026-03-29 01:15:00,93029701.2795298
2026-03-29 01:30:00,93029641.47130084
2026-03-29 01:45:00,93029581.66307206
2026-03-29 02:00:00,93029521.8548431
2026-03-29 02:15:00,93029462.04661432
2026-03-29 02:30:00,93029402.23838535
2026-03-29 02:45:00,93029342.43015659
2026-03-29 03:00:00,93015282.62192795
2026-03-29 03:15:00,93015222.81369896
2026-03-29 03:30:00,92999900.57768013
2026-03-29 03:45:00,92999832.22541845
2026-03-29 04:00:00,92999763.87315701
2026-03-29 04:15:00,92983695.52089523
2026-03-29 04:30:00,92983627.16863379
2026-03-29 04:45:00,92983558.81637211
2026-03-29 05:00:00,92967490.46411079
2026-03-29 05:15:00,92967422.11184934
2026-03-29 05:30:00,92967353.75958766
2026-03-29 05:45:00,92967285.40732622
2026-03-29 06:00:00,92967217.05506454
2026-03-29 06:15:00,92951148.702803
2026-03-29 06:30:00,92951080.35054132
2026-03-29 06:45:00,92951011.99827987
2026-03-29 07:00:00,92950943.64601819
2026-03-29 07:15:00,92950875.29375674
2026-03-29 07:30:00,92950806.94149506
2026-03-29 07:45:00,92950738.5892336
2026-03-29 08:00:00,92934670.23697206
2026-03-29 08:15:00,92934601.88471039
2026-03-29 08:30:00,92934533.53244893
2026-03-29 08:45:00,92934465.18018726
2026-03-29 09:00:00,92934396.82792582
2026-03-29 09:15:00,92919787.41620626
2026-03-29 09:30:00,92919727.6079775
2026-03-29 09:45:00,92919667.79974853
2026-03-29 10:00:00,92905607.99151972
2026-03-29 10:15:00,92905548.18329094
2026-03-29 10:30:00,92905488.37506197
2026-03-29 10:45:00,92905428.5668332
2026-03-29 11:00:00,92905368.75860424
2026-03-29 11:15:00,92905308.95037547
2026-03-29 11:30:00,92891249.14214647
2026-03-29 11:45:00,92891189.33391768
2026-03-29 12:00:00,92891129.52568872
2026-03-29 12:15:00,92891069.71745996
2026-03-29 12:30:00,92891009.90923098
2026-03-29 12:45:00,92890950.10100222
2026-03-29 13:00:00,92890890.29277344
2026-03-29 13:15:00,92876830.48454465
2026-03-29 13:30:00,92876770.67631586
2026-03-29 13:45:00,92876710.8680869
2026-03-29 14:00:00,92876651.05985813
2026-03-29 14:15:00,92876591.25162916
2026-03-29 14:30:00,92876531.4434004
2026-03-29 14:45:00,92876471.63517141
2026-03-29 15:00:00,92876411.82694265
2026-03-29 15:15:00,92876352.01871388
2026-03-29 15:30:00,92862292.21048488
2026-03-29 15:45:00,92862232.4022561
2026-03-29 16:00:00,92862172.59402715
2026-03-29 16:15:00,92862112.78579836
2026-03-29 16:30:00,92862052.9775694
2026-03-29 16:45:00,92847993.16934055
2026-03-29 17:00:00,92847933.3611116
2026-03-29 17:15:00,92847873.55288284
2026-03-29 17:30:00,92847813.74465404
2026-03-29 17:45:00,92833753.9364252
2026-03-29 18:00:00,92833694.12819643
2026-03-29 18:15:00,92833634.31996746
2026-03-29 18:30:00,92819574.51173861
2026-03-29 18:45:00,92819514.70350964
2026-03-29 19:00:00,92805454.8952808
2026-03-29 19:15:00,92791395.08705196
2026-03-29 19:30:00,92791335.27882317
2026-03-29 19:45:00,92775457.68067901
2026-03-29 20:00:00,92775389.32841755
2026-03-29 20:15:00,92759320.97615601
2026-03-29 20:30:00,92759252.62389433
2026-03-29 20:45:00,92743184.27163301
2026-03-29 21:00:00,92743115.91937134
2026-03-29 21:15:00,92727047.56710981
2026-03-29 21:30:00,92726979.21484813
2026-03-29 21:45:00,92710910.86258659
2026-03-29 22:00:00,92710842.51032491
2026-03-29 22:15:00,92710774.15806346
2026-03-29 22:30:00,92696617.58007687
2026-03-29 22:45:00,92696557.77184789
2026-03-29 23:00:00,92696497.96361913
2026-03-29 23:15:00,92696438.15539017
2026-03-29 23:30:00,92696378.34716138
2026-03-29 23:45:00,92682318.53893234
2026-03-30 00:00:00,92682258.73070358
2026-03-30 00:15:00,92682198.9224746
2026-03-30 00:30:00,92682139.11424583
2026-03-30 00:45:00,92682079.30601707
2026-03-30 01:00:00,92682019.4977881
2026-03-30 01:15:00,92667959.68955944
2026-03-30 01:30:00,92667899.88133049
2026-03-30 01:45:00,92667840.0731017
2026-03-30 02:00:00,92667780.26487274
2026-03-30 02:15:00,92667720.45664397
2026-03-30 02:30:00,92667660.648415
2026-03-30 02:45:00,92667600.84018624
2026-03-30 03:00:00,92667541.03195727
2026-03-30 03:15:00,92667481.22372851
2026-03-30 03:30:00,92667421.41549972
2026-03-30 03:45:00,92667361.60727076
2026-03-30 04:00:00,92667301.799042
2026-03-30 04:15:00,92667241.99081302
2026-03-30 04:30:00,92667182.18258426
2026-03-30 04:45:00,92667122.37435527
2026-03-30 05:00:00,92667062.56612651
2026-03-30 05:15:00,92667002.75789756
2026-03-30 05:30:00,92666942.94966878
2026-03-30 05:45:00,92666883.14144002
2026-03-30 06:00:00,92666823.33321103
2026-03-30 06:15:00,92666763.52498227
2026-03-30 06:30:00,92666703.71675329
2026-03-30 06:45:00,92666643.90852453
