text,url,source
Skip to content,https://www.ibwc.gov/water-data/#fl-main-content,scraped from IBWC Water Data page
Home,https://www.ibwc.gov/,scraped from IBWC Water Data page
About,https://www.ibwc.gov/about-us/,scraped from IBWC Water Data page
Commissioner,https://www.ibwc.gov/about-us/commissioner/,scraped from IBWC Water Data page
History,https://www.ibwc.gov/about-us/history/,scraped from IBWC Water Data page
Synopsis,https://www.ibwc.gov/about-us/synopsis/,scraped from IBWC Water Data page
Treaties,https://www.ibwc.gov/treaties/,scraped from IBWC Water Data page
Minutes,https://www.ibwc.gov/minutes/,scraped from IBWC Water Data page
Minutes by Project,https://www.ibwc.gov/minutes-by-project/,scraped from IBWC Water Data page
Press Releases,https://www.ibwc.gov/press-releases/,scraped from IBWC Water Data page
Annual Financial Report,https://www.ibwc.gov/wp-content/uploads/2026/05/FY25-IBWC-AFR-01May2026.pdf,scraped from IBWC Water Data page
USIBWC Annual Performance Plan,https://www.ibwc.gov/wp-content/uploads/2026/03/USIBWC-FY2026-2030-Annual-Perfomance-Plan.pdf,scraped from IBWC Water Data page
USIBWC Strategic Plan,https://www.ibwc.gov/wp-content/uploads/2026/03/USIBWC-FY2026-2030-Strategic-Plan.pdf,scraped from IBWC Water Data page
Organization,https://www.ibwc.gov/organization/,scraped from IBWC Water Data page
Executive Offices,https://www.ibwc.gov/organization/executive-offices/,scraped from IBWC Water Data page
Legal Affairs,https://www.ibwc.gov/organization/executive-offices/#legal,scraped from IBWC Water Data page
Foreign Affairs,https://www.ibwc.gov/organization/executive-offices/#foreign,scraped from IBWC Water Data page
Public Affairs,https://www.ibwc.gov/organization/executive-offices/#public,scraped from IBWC Water Data page
EEO,https://www.ibwc.gov/organization/executive-offices/#eeo,scraped from IBWC Water Data page
Human Resources,https://www.ibwc.gov/organization/executive-offices/#human-resources,scraped from IBWC Water Data page
Washington Liaison,https://www.ibwc.gov/organization/executive-offices/#washington,scraped from IBWC Water Data page
Operations,https://www.ibwc.gov/organization/operations/,scraped from IBWC Water Data page
Occupational Safety & Health,https://www.ibwc.gov/organization/operations/#occupational-safety,scraped from IBWC Water Data page
Operations & Maintenance,https://www.ibwc.gov/organization/operations/#operations-maintenance,scraped from IBWC Water Data page
Security Operations,https://www.ibwc.gov/organization/operations/#security-operations,scraped from IBWC Water Data page
Water Accounting,https://www.ibwc.gov/organization/operations/#wad,scraped from IBWC Water Data page
Public Safety Officer Candidates,https://www.ibwc.gov/ssd/,scraped from IBWC Water Data page
Engineering,https://www.ibwc.gov/organization/engineering/,scraped from IBWC Water Data page
Engineering Services,https://www.ibwc.gov/organization/engineering/#engineering-services,scraped from IBWC Water Data page
Environmental Management,https://www.ibwc.gov/organization/engineering/#environmental-management,scraped from IBWC Water Data page
Texas Clean Rivers Program,https://www.ibwc.gov/crp/,scraped from IBWC Water Data page
Construction Management,https://www.ibwc.gov/organization/engineering/#construction-management,scraped from IBWC Water Data page
Realty,https://www.ibwc.gov/organization/engineering/realty/,scraped from IBWC Water Data page
Information Management,https://www.ibwc.gov/organization/imd/,scraped from IBWC Water Data page
Records Management,https://www.ibwc.gov/organization/imd/#records-management,scraped from IBWC Water Data page
Administration,https://www.ibwc.gov/organization/administration/,scraped from IBWC Water Data page
Budget Division,https://www.ibwc.gov/organization/administration/#budget,scraped from IBWC Water Data page
Finance & Accounting,https://www.ibwc.gov/organization/administration/#finance,scraped from IBWC Water Data page
Personal Property Office,https://www.ibwc.gov/organization/administration/#ppo,scraped from IBWC Water Data page
Operations,https://www.ibwc.gov/field-offices/,scraped from IBWC Water Data page
Western Land,https://www.ibwc.gov/field-offices/western-land/,scraped from IBWC Water Data page
Upper Rio Grande,https://www.ibwc.gov/field-offices/urgp/,scraped from IBWC Water Data page
Lower Rio Grande,https://www.ibwc.gov/field-offices/lrgfcp/,scraped from IBWC Water Data page
Flood Control Levee Systems,https://www.ibwc.gov/flood-control-levee-systems/,scraped from IBWC Water Data page
Diversion Dams and Related Structures,https://www.ibwc.gov/diversion-dams/,scraped from IBWC Water Data page
Hydro-Electric Power Plants & Storage Dams,https://www.ibwc.gov/power-plants-dams/,scraped from IBWC Water Data page
Wastewater Treatment Plants,https://www.ibwc.gov/wastewater-treatment-plants/,scraped from IBWC Water Data page
Research,https://www.ibwc.gov/water-data/,scraped from IBWC Water Data page
Reports and Studies,https://www.ibwc.gov/reports-studies/,scraped from IBWC Water Data page
Resources and Information,https://www.ibwc.gov/resources-info/,scraped from IBWC Water Data page
GIS / Maps,https://www.ibwc.gov/gis-program/,scraped from IBWC Water Data page
Current Projects & Activity Maps,https://www.ibwc.gov/gis-program/activity-maps/,scraped from IBWC Water Data page
International Boundary Maps,https://www.ibwc.gov/gis-program/international-boundary-maps/,scraped from IBWC Water Data page
Levee Improvement Projects,https://www.ibwc.gov/gis-program/levee-improvement-projects/,scraped from IBWC Water Data page
Meetings,https://www.ibwc.gov/meetings,scraped from IBWC Water Data page
Citizens Forums Meetings by Location,https://www.ibwc.gov/citizens-forums-past-meetings/,scraped from IBWC Water Data page
Contact,https://www.ibwc.gov/contact-us/,scraped from IBWC Water Data page
Organizational Chart,https://www.ibwc.gov/organizational-chart/,scraped from IBWC Water Data page
Twitter icon,https://www.youtube.com/channel/UCkZCCKEf3ERanugmTBBrisg,scraped from IBWC Water Data page
Twitter icon,https://twitter.com/usibwc?t=6ARJp9mZk0UQnKJpONKPQQ&s=09,scraped from IBWC Water Data page
FB Icon,https://www.facebook.com/profile.php?id=61587557578563,scraped from IBWC Water Data page
,https://www.ibwc.gov/water-data/#,scraped from IBWC Water Data page
Daily Rio Grande Flow Conditions,https://ibwcsftpstg.blob.core.windows.net/wad/DailyReports/flowdata.htm,scraped from IBWC Water Data page
Near Real-time Streamflow Data,https://www.ibwc.gov/water-data/active-gaging-stations,scraped from IBWC Water Data page
Weekly 5 Year Cycle Status,https://www.ibwc.gov/water-data/mexico-deliveries/,scraped from IBWC Water Data page
Weekly Ownership Reports,https://ibwcsftpstg.blob.core.windows.net/wad/WeeklyReports/storage.htm,scraped from IBWC Water Data page
Amistad,https://ibwcsftpstg.blob.core.windows.net/wad/WeeklyReports/amisto.gif,scraped from IBWC Water Data page
Falcon,https://ibwcsftpstg.blob.core.windows.net/wad/WeeklyReports/falsto.gif,scraped from IBWC Water Data page
Elephant,https://ibwcsftpstg.blob.core.windows.net/wad/ReservoirReports/elesto.gif,scraped from IBWC Water Data page
Caballo,https://ibwcsftpstg.blob.core.windows.net/wad/ReservoirReports/cabsto.gif,scraped from IBWC Water Data page
Amistad-Falcon Ownership Trends 1996-present,https://ibwcsftpstg.blob.core.windows.net/wad/WeeklyReports/amfalpct.gif,scraped from IBWC Water Data page
Go,JavaScript:void(0);,scraped from IBWC Water Data page
Rio Grande River Between Percha Diversion Dam and American Diversion Dam,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-010_URG_2025_FWN_Above-American-Dam_RR-corrected.pdf,scraped from IBWC Water Data page
Rio Grande River between American Diversion Dam and Little Box Canyon,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-011_URG_2025_FWN_Below-American-Dam_RR-corrected.pdf,scraped from IBWC Water Data page
Rio Grande River Above Rio Conchos,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-009_Presidio-FO_FWN_2025_Above-Rio-Conchos_-002.pdf,scraped from IBWC Water Data page
Rio Grande River Below Rio Conchos,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-008_Presidio-FO_FWN_2025_Below-Rio-Conchos_-002.pdf,scraped from IBWC Water Data page
Rio Grande River Above Amistad Dam,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-005_Amistad-FO_FWN_2025_Upstream-of-Amistad_-002.pdf,scraped from IBWC Water Data page
Rio Grande River Below Amistad Dam,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-004_Amistad-FO_FWN_2025_Downstream-of-Amistad_-002.pdf,scraped from IBWC Water Data page
Rio Grande River Above Falcon Dam,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-007_Falcon_2025_FWN_Upstream-of-Falcon_RR-corrected.pdf,scraped from IBWC Water Data page
Rio Grande River Below Falcon Dam,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-006_Falcon_2025_FWN_Downstream-of-Falcon_RR-corrected.pdf,scraped from IBWC Water Data page
Rio Grande River from Penitas to the Gulf and in the Interior Floodways,https://www.ibwc.gov/wp-content/uploads/2025/04/WAD-25-02-012_Mercedes_2025_FWN_RR.pdf,scraped from IBWC Water Data page
Transboundary Aquifers and Binational Ground Water Database for the City of El Paso / Ciudad Juarez Area,https://www.ibwc.gov/wp-content/uploads/2023/07/Transboundary_Aquifers_Binational_GWD_EP_CJA.pdf,scraped from IBWC Water Data page
Texas Water Development Board,http://www.twdb.texas.gov,scraped from IBWC Water Data page
New Mexico Water Resources Research Institute,https://nmwrri.nmsu.edu/,scraped from IBWC Water Data page
Texas Bureau of Economic Geology,http://www.beg.utexas.edu/,scraped from IBWC Water Data page
U.S. Geological Survey,http://tx.usgs.gov/,scraped from IBWC Water Data page
El Paso Public Service Board,http://www.epwu.org,scraped from IBWC Water Data page
University of Texas at El Paso,http://www.utep.edu/,scraped from IBWC Water Data page
"Mexican Section, International Boundary and Water Commission",http://cila.sre.gob.mx/cilanorte/,scraped from IBWC Water Data page
National Water Commission,http://www.conagua.gob.mx/,scraped from IBWC Water Data page
City of Juarez Municipal Utility of Water and Sanitation,http://jmasjuarez.com,scraped from IBWC Water Data page
,https://www.ibwc.gov/wp-content/uploads/2022/12/Conejos_Medanos_Aquifer.jpg,scraped from IBWC Water Data page
"Hydrogeological Activities in the Conejos-Médanos/Mesilla Basin Aquifer, Chihuahua",https://www.ibwc.gov/wp-content/uploads/2023/07/Final_report_English_Mesilla_ConejosMedanos_Study-2011.pdf,scraped from IBWC Water Data page
Appendices,ftp://anonymous:anonymous@63.96.218.8/Final_report_EMCM_Study_2011_Appendices.pdf,scraped from IBWC Water Data page
GIS Portal,https://gisportal.ibwc.gov/agsportal/home/,scraped from IBWC Water Data page
New Mexico Water Resources Research Institute,http://www.nmwrri.nmsu.edu/,scraped from IBWC Water Data page
Texas Water Resources Institute,http://twri.tamu.edu/,scraped from IBWC Water Data page
U.S. Geological Survey,https://nm.water.usgs.gov/,scraped from IBWC Water Data page
Mexican Geological Survey,http://www.sgm.gob.mx/,scraped from IBWC Water Data page
,https://www.ibwc.gov/wp-content/uploads/2022/12/San_Pedro_Aquifer.png,scraped from IBWC Water Data page
San Pedro River Aquifer Binational Report (English),https://www.ibwc.gov/wp-content/uploads/2023/07/San_Pedro_Binational_Report_En_01122017.pdf,scraped from IBWC Water Data page
(Spanish Version),https://www.ibwc.gov/wp-content/uploads/2023/07/San_Pedro_Binational_Report_ESP_Final_2016.pdf,scraped from IBWC Water Data page
U.S. Geological Survey,https://www.usgs.gov/centers/arizona-water-science-center,scraped from IBWC Water Data page
University of Arizona Water Resources Research Center,http://wrrc.arizona.edu/TAAP,scraped from IBWC Water Data page
University of Sonora,http://www.uson.mx/,scraped from IBWC Water Data page
Phone icon,tel:1-800-262-8857,scraped from IBWC Water Data page
Map icon,"https://www.google.com/maps/place/US+International+Boundary+%26+Water+Commn/@31.794952,-106.5115474,17z/data=!4m15!1m8!3m7!1s0x86e75817d9db89a1:0xab4494728a4def22!2s4191+N+Mesa+St,+El+Paso,+TX+79902!3b1!8m2!3d31.794952!4d-106.5115474!16s%2Fg%2F11c1kchpmw!3m5!1s0x86e7583d90a62949:0xc4583ec589c73452!8m2!3d31.7948284!4d-106.5115814!16s%2Fg%2F1thtq0wd",scraped from IBWC Water Data page
Mail icon,mailto:PAO@ibwc.gov,scraped from IBWC Water Data page
PAO@ibwc.gov,mailto:pao@ibwc.gov,scraped from IBWC Water Data page
Whistleblowing,https://www.ibwc.gov/wp-content/uploads/2023/06/Whistleblowing-Poster.pdf,scraped from IBWC Water Data page
Whistleblower Retaliation,https://www.ibwc.gov/wp-content/uploads/2026/05/whistleblower-retaliation-poster-v2024_REQUIRED.pdf,scraped from IBWC Water Data page
Prohibited Personnel Practices,https://www.ibwc.gov/wp-content/uploads/2026/05/prohibited-personnel-practices-poster-for-government-corporation-v2024_REQUI.pdf,scraped from IBWC Water Data page
Your Rights,https://www.ibwc.gov/wp-content/uploads/2026/05/your-rights-as-an-employee-of-a-government-corporation-v2024_REQUIRED.pdf,scraped from IBWC Water Data page
Know Your Rights,https://www.ibwc.gov/wp-content/uploads/2026/05/disclosures-of-wrongdoing-poster-v2024_REQUIRED.pdf,scraped from IBWC Water Data page
Compliance Information,https://www.ibwc.gov/organization/compliance-information/,scraped from IBWC Water Data page
Strategic Plan,https://www.ibwc.gov/wp-content/uploads/2023/03/USIBWC_Strategic_Plan_2021-2025.pdf,scraped from IBWC Water Data page
CDC Coronavirus,https://www.cdc.gov/coronavirus/2019-ncov/index.html,scraped from IBWC Water Data page
FOIA Request,https://www.ibwc.gov/foia/,scraped from IBWC Water Data page
No FEAR Act,https://www.ibwc.gov/organization/executive-offices/eeo/#no-fear,scraped from IBWC Water Data page
Privacy Policy,https://www.ibwc.gov/privacy-policy/,scraped from IBWC Water Data page
State OIG Hotline,https://www.stateoig.gov/hotline,scraped from IBWC Water Data page
