week,date,S_hist,S_rule
0,2025-06-29,375611223.3226168,375611223.3226168
1,2025-07-06,381353033.62584126,381353033.62584126
2,2025-07-13,381060600.0000005,381060600.0000005
3,2025-07-20,401897800.0000002,401897800.0000002
4,2025-07-27,402327751.1143201,402327751.1143201
5,2025-08-03,395374800.0000002,395374800.0000002
6,2025-08-10,381024434.6303729,381024434.6303729
7,2025-08-17,369201600.0000005,369201600.0000005
8,2025-08-24,362106057.36236,362106057.36236
9,2025-08-31,354219402.98286206,354219402.98286206
10,2025-09-07,348969800.0000005,348969800.0000005
11,2025-09-14,362492822.9103729,362492822.9103729
12,,359180636.8083179,359180636.8083179
